%KEY;Cost;Customer Number;Date;GrossSales;Invoice Date;Invoice Number;Item Desc;Item Number;Margin;Order Number;Promised Delivery Date;Sales;Sales Qty;Sales Rep Number
3428;-513,15;10012226;2012-01-12;-573,3835;2012-01-12;318960;Cutting Edge Sliced Ham;10696;-37,29;115785;2012-01-12;-550,44;-1;180
3429;-105,93;10012226;2012-01-12;-204,6638;2012-01-12;318960;Washington Cranberry Juice;10009;-90,54;115785;2012-01-12;-196,47;-2;180
3430;-88,07;10012226;2012-01-12;-165,8016;2012-01-12;318960;Moms Sliced Ham;10385;-71,1;115785;2012-01-12;-159,17;-3;180
3431;-43,12;10012226;2012-01-12;-118,3703;2012-01-12;318960;Tip Top Lox;10215;-70,52;115785;2012-01-12;-113,64;-1;180
3432;-37,98;10012226;2012-01-12;-102,3319;2012-01-12;318960;Just Right Beef Soup;10965;-60,26;115785;2012-01-12;-98,24;-1;180
3433;-49,37;10012226;2012-01-12;-85,5766;2012-01-12;318960;Fantastic Pumpernickel Bread;10901;-32,79;115785;2012-01-12;-82,16;-1;180
3434;-45,81;10012226;2012-01-12;-68,4399;2012-01-12;318960;Gorilla 1% Milk;10681;-19,89;115785;2012-01-12;-65,7;-1;180
3435;-12,56;10012226;2012-01-12;-67,3822;2012-01-12;318960;Pearl Chardonnay;10898;-52,12;115785;2012-01-12;-64,68;-1;180
3436;-13,42;10012226;2012-01-12;-16,1534;2012-01-12;318960;Blue Label Fancy Canned Oysters;10035;-2,08;115785;2012-01-12;-15,5;-2;180
3451;0,38;10002489;2012-01-12;1,438;2012-01-12;319167;Super Vegetable Oil;10291;1;116691;2012-01-12;1,38;1;109
3452;0,46;10008381;2012-01-12;1,7848;2012-01-12;319174;Ebony Green Pepper;10801;1,25;116701;2012-01-12;1,71;1;111
3453;1,14;10000486;2012-01-12;3,3824;2012-01-12;319069;Imagine Frozen Pancakes;10707;2,1;116629;2012-01-12;3,24;2;162
3454;2,13;10000486;2012-01-12;4,5453;2012-01-12;319069;Gorilla Head Cheese;10673;2,24;116629;2012-01-12;4,37;3;162
3455;7,76;10021472;2012-01-12;5,6549;2012-01-12;319142;Imagine Frozen Carrots;10717;-2,34;116622;2012-01-12;5,42;1;154
3456;3,51;10000453;2012-01-12;5,9111;2012-01-12;319153;Blue Label Chicken Soup;10019;2,16;116657;2012-01-12;5,67;1;125
3457;4,87;10021472;2012-01-12;10,1223;2012-01-12;319142;Big Time Chicken TV Dinner;10408;4,85;116622;2012-01-12;9,72;1;154
3458;0,61;10021472;2012-01-12;11,4246;2012-01-12;319142;Big Time Low Fat French Fries;10397;10,35;116622;2012-01-12;10,96;2;154
